boundary,counties
place,"Los Angeles County, California"
threshold,94.4 °F
climate variable,tasmax
scenario,rcp85 
 
 name,year,count
Observed,1950,5
Observed,1951,0
Observed,1952,1
Observed,1953,2
Observed,1954,2
Observed,1955,9
Observed,1956,3
Observed,1957,3
Observed,1958,2
Observed,1959,7
Observed,1960,10
Observed,1961,1
Observed,1962,1
Observed,1963,6
Observed,1964,0
Observed,1965,2
Observed,1966,0
Observed,1967,7
Observed,1968,0
Observed,1969,2
Observed,1970,4
Observed,1971,7
Observed,1972,7
Observed,1973,4
Observed,1974,0
Observed,1975,0
Observed,1976,8
Observed,1977,1
Observed,1978,5
Observed,1979,11
Observed,1980,10
Observed,1981,9
Observed,1982,4
Observed,1983,7
Observed,1984,6
Observed,1985,12
Observed,1986,0
Observed,1987,2
Observed,1988,3
Observed,1989,4
Observed,1990,8
Observed,1991,1
Observed,1992,5
Observed,1993,0
Observed,1994,12
Observed,1995,8
Observed,1996,10
Observed,1997,3
Observed,1998,14
Observed,1999,0
Observed,2000,3
Observed,2001,1
Observed,2002,4
Observed,2003,5
Observed,2004,2
Observed,2005,3
HadGEM2-ES,1950,0
HadGEM2-ES,1951,2
HadGEM2-ES,1952,12
HadGEM2-ES,1953,14
HadGEM2-ES,1954,12
HadGEM2-ES,1955,3
HadGEM2-ES,1956,13
HadGEM2-ES,1957,7
HadGEM2-ES,1958,11
HadGEM2-ES,1959,5
HadGEM2-ES,1960,6
HadGEM2-ES,1961,6
HadGEM2-ES,1962,4
HadGEM2-ES,1963,11
HadGEM2-ES,1964,5
HadGEM2-ES,1965,1
HadGEM2-ES,1966,5
HadGEM2-ES,1967,0
HadGEM2-ES,1968,8
HadGEM2-ES,1969,1
HadGEM2-ES,1970,3
HadGEM2-ES,1971,2
HadGEM2-ES,1972,4
HadGEM2-ES,1973,13
HadGEM2-ES,1974,5
HadGEM2-ES,1975,10
HadGEM2-ES,1976,3
HadGEM2-ES,1977,11
HadGEM2-ES,1978,3
HadGEM2-ES,1979,4
HadGEM2-ES,1980,0
HadGEM2-ES,1981,0
HadGEM2-ES,1982,4
HadGEM2-ES,1983,4
HadGEM2-ES,1984,2
HadGEM2-ES,1985,1
HadGEM2-ES,1986,4
HadGEM2-ES,1987,4
HadGEM2-ES,1988,10
HadGEM2-ES,1989,4
HadGEM2-ES,1990,4
HadGEM2-ES,1991,0
HadGEM2-ES,1992,11
HadGEM2-ES,1993,1
HadGEM2-ES,1994,6
HadGEM2-ES,1995,6
HadGEM2-ES,1996,6
HadGEM2-ES,1997,11
HadGEM2-ES,1998,21
HadGEM2-ES,1999,11
HadGEM2-ES,2000,4
HadGEM2-ES,2001,8
HadGEM2-ES,2002,14
HadGEM2-ES,2003,4
HadGEM2-ES,2004,3
HadGEM2-ES,2005,4
HadGEM2-ES,2006,5
HadGEM2-ES,2007,13
HadGEM2-ES,2008,6
HadGEM2-ES,2009,16
HadGEM2-ES,2010,18
HadGEM2-ES,2011,7
HadGEM2-ES,2012,20
HadGEM2-ES,2013,13
HadGEM2-ES,2014,17
HadGEM2-ES,2015,15
HadGEM2-ES,2016,12
HadGEM2-ES,2017,12
HadGEM2-ES,2018,23
HadGEM2-ES,2019,3
HadGEM2-ES,2020,35
HadGEM2-ES,2021,12
HadGEM2-ES,2022,17
HadGEM2-ES,2023,24
HadGEM2-ES,2024,20
HadGEM2-ES,2025,16
HadGEM2-ES,2026,10
HadGEM2-ES,2027,17
HadGEM2-ES,2028,13
HadGEM2-ES,2029,10
HadGEM2-ES,2030,15
HadGEM2-ES,2031,13
HadGEM2-ES,2032,23
HadGEM2-ES,2033,32
HadGEM2-ES,2034,29
HadGEM2-ES,2035,38
HadGEM2-ES,2036,38
HadGEM2-ES,2037,33
HadGEM2-ES,2038,27
HadGEM2-ES,2039,31
HadGEM2-ES,2040,33
HadGEM2-ES,2041,19
HadGEM2-ES,2042,25
HadGEM2-ES,2043,41
HadGEM2-ES,2044,54
HadGEM2-ES,2045,23
HadGEM2-ES,2046,19
HadGEM2-ES,2047,31
HadGEM2-ES,2048,31
HadGEM2-ES,2049,26
HadGEM2-ES,2050,24
HadGEM2-ES,2051,42
HadGEM2-ES,2052,41
HadGEM2-ES,2053,41
HadGEM2-ES,2054,23
HadGEM2-ES,2055,51
HadGEM2-ES,2056,41
HadGEM2-ES,2057,40
HadGEM2-ES,2058,58
HadGEM2-ES,2059,49
HadGEM2-ES,2060,43
HadGEM2-ES,2061,41
HadGEM2-ES,2062,73
HadGEM2-ES,2063,23
HadGEM2-ES,2064,56
HadGEM2-ES,2065,35
HadGEM2-ES,2066,23
HadGEM2-ES,2067,37
HadGEM2-ES,2068,62
HadGEM2-ES,2069,47
HadGEM2-ES,2070,45
HadGEM2-ES,2071,44
HadGEM2-ES,2072,65
HadGEM2-ES,2073,50
HadGEM2-ES,2074,45
HadGEM2-ES,2075,54
HadGEM2-ES,2076,52
HadGEM2-ES,2077,72
HadGEM2-ES,2078,63
HadGEM2-ES,2079,73
HadGEM2-ES,2080,65
HadGEM2-ES,2081,64
HadGEM2-ES,2082,55
HadGEM2-ES,2083,91
HadGEM2-ES,2084,77
HadGEM2-ES,2085,70
HadGEM2-ES,2086,59
HadGEM2-ES,2087,75
HadGEM2-ES,2088,72
HadGEM2-ES,2089,62
HadGEM2-ES,2090,75
HadGEM2-ES,2091,63
HadGEM2-ES,2092,72
HadGEM2-ES,2093,98
HadGEM2-ES,2094,62
HadGEM2-ES,2095,84
HadGEM2-ES,2096,80
HadGEM2-ES,2097,56
HadGEM2-ES,2098,115
HadGEM2-ES,2099,67
CNRM-CM5,1950,6
CNRM-CM5,1951,3
CNRM-CM5,1952,3
CNRM-CM5,1953,6
CNRM-CM5,1954,9
CNRM-CM5,1955,6
CNRM-CM5,1956,8
CNRM-CM5,1957,3
CNRM-CM5,1958,0
CNRM-CM5,1959,1
CNRM-CM5,1960,7
CNRM-CM5,1961,5
CNRM-CM5,1962,0
CNRM-CM5,1963,5
CNRM-CM5,1964,3
CNRM-CM5,1965,4
CNRM-CM5,1966,3
CNRM-CM5,1967,5
CNRM-CM5,1968,0
CNRM-CM5,1969,13
CNRM-CM5,1970,4
CNRM-CM5,1971,3
CNRM-CM5,1972,5
CNRM-CM5,1973,8
CNRM-CM5,1974,12
CNRM-CM5,1975,12
CNRM-CM5,1976,10
CNRM-CM5,1977,5
CNRM-CM5,1978,3
CNRM-CM5,1979,6
CNRM-CM5,1980,7
CNRM-CM5,1981,11
CNRM-CM5,1982,7
CNRM-CM5,1983,3
CNRM-CM5,1984,1
CNRM-CM5,1985,0
CNRM-CM5,1986,0
CNRM-CM5,1987,6
CNRM-CM5,1988,4
CNRM-CM5,1989,11
CNRM-CM5,1990,6
CNRM-CM5,1991,11
CNRM-CM5,1992,3
CNRM-CM5,1993,7
CNRM-CM5,1994,5
CNRM-CM5,1995,9
